X,Y,NDVI,NDBI,NDWI,Albedo,TS,Month
441660,3069360,0.45022314266546104,-0.17929742166559928,-0.00650535873075303,15108.13503937008,33.231743466441685,july
441690,3069360,0.46954824474555173,-0.2089548765446464,0.004763027587833058,15481.060236220472,33.2831965641721,july
441720,3069360,0.46913614374568074,-0.20141965819694366,0.0015619257625872842,15813.153740157477,33.531762766884185,july
441750,3069360,0.47486761710794295,-0.21280871778839713,-0.0015609218620879625,16026.804330708661,33.75750197943603,july
441780,3069360,0.47616303005351995,-0.20898239935261986,-0.0044440372016310075,15942.81909448819,33.99193827048674,july
441810,3069360,0.4729991692052063,-0.21410636840903904,5.083884087442806e-4,15761.991338582677,34.16442546868484,july
441840,3069360,0.4355168269230769,-0.18755126898506053,-0.01316793893129771,14680.799409448819,34.530347524171475,july
441870,3069360,0.41596612491437823,-0.2034400635088648,0.007111677865515719,14071.152755905514,34.8948426887045,july
441900,3069360,0.3054129514545618,-0.1416793572441317,-0.01577260098311605,14215.933267716535,35.434130050434874,july
441930,3069360,0.2331306990881459,-0.05993311735813565,-0.0609258260802588,14233.93031496063,35.88686781114467,july
441960,3069360,0.1722895828643103,-0.022813368128630357,-0.06303094660194175,13506.290551181102,36.29762530398449,july
441990,3069360,0.11560732113144759,-0.0010152284263959391,-0.05792215752375115,12888.299409448819,36.81041039587268,july
442020,3069360,0.10270035113887076,0.012769508972040617,-0.0746572934973638,13715.19409448819,37.25106172068001,july
442050,3069360,0.08594722429673886,0.0347936718663569,-0.08617330370876773,13781.131102362202,37.72906610334786,july
442080,3069360,0.08428606178545366,0.04335229101834961,-0.0881816069828416,14093.51594488189,38.176751753586245,july
442110,3069360,0.07745480326125487,0.04035992422647863,-0.08573092980355351,14379.166535433069,38.589320776114164,july
442140,3069360,0.07714598302729235,0.0394726433750824,-0.08984009045388468,14400.9687007874,39.02017111363875,july
442170,3069360,0.07502002313784818,0.04273865497384965,-0.09027844686385972,14409.337795275589,39.28172160655231,july
442200,3069360,0.07062339122459245,0.03921620688739612,-0.08931373490889294,14387.148818897636,39.422232095385425,july
442230,3069360,0.06892621475704859,0.04276121407467096,-0.08911147011308562,14243.855511811022,39.53737047276121,july
442260,3069360,0.06789636551180146,0.044283348266406015,-0.09089130860011736,14112.066141732284,39.56312006368165,july
442290,3069360,0.06815327595184856,0.03960341503717984,-0.08624277456647399,13946.739370078742,39.49146877659439,july
442320,3069360,0.06673967268966356,0.038706140350877195,-0.084298499605159255,14019.431299212598,39.47087593618181,july
442350,3069360,0.07334242318546469,0.042757762569990386,-0.09119730185497471,13672.586811023622,39.569297407851934,july
442380,3069360,0.06486032074495603,0.05029125093719361,-0.09407500254073647,13469.63503937008,39.70170798353638,july
442410,3069360,0.06644193494016518,0.05744249791443213,-0.10117679827310076,13078.249212598426,39.79333391548283,july
442440,3069360,0.061507727894017455,0.05671307110156031,-0.09304406973830237,12623.362401574803,39.872367386393876,july
442470,3069360,0.05484657298537425,0.04770226537216828,-0.08434625189344959,12266.174409448819,39.97265538164419,july
442500,3069360,0.060322545414831265,0.04451661581865302,-0.08259154929577464,12149.416535433073,40.116435128132764,july
442530,3069360,0.06500922734078485,0.034837488166614076,-0.0781651376146789,12519.419488188976,40.25583927673222,july
442560,3069360,0.05878456698128829,0.040170529602497895,-0.08569057334532125,13100.945078740155,40.34330866334864,july
442590,3069360,0.05971740869101573,0.051397547952152255,-0.08959778085991678,13088.918503937006,40.37166464125926,july
